OBJECTID,PARK_TYPE,PARKNAME,WEBURL
1,COMMUNITY,Greenbrier Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/greenbrer-park
2,COMMUNITY,Meadowcreek Gardens & Disc Golf,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/meadow-creek-valley
3,NEIGHBORHOOD,Greenleaf Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/greenleaf-park
4,NEIGHBORHOOD,Northeast Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/northeast-park
6,COMMUNITY,Riverview Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/riverview-park-rivanna-trail
7,COMMUNITY,Meade Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/meade-park
8,NEIGHBORHOOD,Forest Hills Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/forest-hills-park
25,COMMUNITY,Quarry Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/quarry-park
26,NEIGHBORHOOD,Rives Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/rives-park
27,URBAN PARK,McGuffey Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/mcguffey-park
28,URBAN PARK,Market Street Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/lee-park
29,URBAN PARK,Court Square Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/jackson-park
31,NEIGHBORHOOD,Fifeville Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/fifeville-park
33,COMMUNITY,Azalea Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/azalea-park
59,REGIONAL,McIntire Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/mcintire-park
82,COMMUNITY,Schenk's Greenway,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/schenk-s-greenway
110,REGIONAL,Pen Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation/parks-trails/city-parks/pen-park
